AGE,SCHOOL TYPE,GENDER,CASTE,FAMILY INCOME,OCCUPATION,MARRIED(YES/NO),ACADEMIC MARKS,NO OF SIBLINGS,WORK(YES/NO),CLASS,LOCATION,DROPOUT
18,PVT,F,GEN,300000,BUSINESS,NO,76,2,NO,9,URBAN,N
18,GOVT,F,SC,131844,TEACHER,NO,73,1,NO,10,RURAL,Y
18,PVT,M,GEN,300000,OTHERS,NO,73,1,NO,10,RURAL,N
10,GOVT,M,GEN,149895,BUSINESS,NO,78,4,YES,8,RURAL,Y
17,PVT,F,GEN,105431,OTHERS,YES,74,1,NO,11,URBAN,N
17,PVT,F,GEN,300000,BUSINESS,NO,89,2,NO,9,RURAL,N
17,PVT,F,GEN,300000,ACCOUNTANT,NO,88,1,NO,10,RURAL,N
18,PVT,M,GEN,289975,ACCOUNTANT,NO,80,2,NO,10,URBAN,N
12,GOVT,F,SC,94205,LABOUR,NO,75,4,YES,4,RURAL,Y
18,GOVT,M,OBC,115070,FARMER,NO,63,2,YES,4,RURAL,Y
12,GOVT,M,SC,85459,FARMER,NO,76,4,YES,4,RURAL,Y
17,GOVT,M,SC,95863,FARMER,NO,60,2,YES,4,URBAN,N
17,PVT,F,GEN,300000,ACCOUNTANT,NO,81,2,NO,9,URBAN,N
14,GOVT,M,SC,105771,LABOUR,NO,56,4,YES,3,RURAL,Y
13,GOVT,M,ST,89737,OTHERS,NO,76,4,YES,3,RURAL,Y
18,GOVT,F,GEN,254067,LABOUR,NO,63,1,YES,9,URBAN,N
18,PVT,F,GEN,213873,TEACHER,NO,89,1,NO,11,URBAN,N
12,GOVT,M,SC,131798,OTHERS,NO,73,3,YES,3,RURAL,Y
13,GOVT,M,ST,59000,ACCOUNTANT,NO,55,4,YES,3,RURAL,Y
11,GOVT,M,SC,75728,LABOUR,NO,63,4,YES,3,RURAL,Y
18,GOVT,M,GEN,116793,FARMER,NO,74,2,NO,12,RURAL,N
13,GOVT,M,OBC,83475,OTHERS,NO,61,4,NO,4,RURAL,Y
13,GOVT,M,SC,59000,LABOUR,YES,72,4,NO,3,URBAN,Y
17,GOVT,M,GEN,95282,LABOUR,NO,55,2,YES,4,RURAL,Y
14,PVT,M,GEN,120152,LABOUR,YES,62,3,YES,4,RURAL,Y
12,GOVT,M,SC,59000,LABOUR,NO,60,5,YES,3,RURAL,Y
18,PVT,F,GEN,300000,BUSINESS,NO,85,1,NO,12,RURAL,N
16,PVT,F,GEN,195366,BUSINESS,NO,87,2,NO,9,RURAL,N
17,PVT,F,GEN,300000,ACCOUNTANT,NO,89,1,NO,10,RURAL,N
17,PVT,M,GEN,300000,BUSINESS,NO,84,2,NO,8,URBAN,N
15,GOVT,F,SC,84270,TEACHER,YES,69,3,YES,4,URBAN,N
17,PVT,M,GEN,116964,LABOUR,NO,65,2,NO,9,RURAL,N
17,PVT,F,GEN,300000,BUSINESS,YES,81,1,NO,9,URBAN,N
10,GOVT,M,ST,129311,OTHERS,NO,64,3,YES,5,RURAL,Y
16,PVT,F,OBC,300000,ACCOUNTANT,NO,66,1,NO,12,RURAL,Y
17,PVT,M,GEN,213444,ACCOUNTANT,NO,89,1,NO,9,URBAN,N
11,GOVT,M,OBC,99349,FARMER,NO,61,3,YES,3,RURAL,Y
14,GOVT,M,OBC,59000,LABOUR,NO,56,5,YES,3,RURAL,Y
13,GOVT,M,SC,89003,LABOUR,NO,64,4,YES,4,RURAL,Y
17,PVT,F,GEN,281730,BUSINESS,NO,88,1,NO,11,URBAN,N
16,PVT,F,GEN,117521,BUSINESS,NO,62,2,NO,9,URBAN,N
18,PVT,F,GEN,225996,BUSINESS,NO,83,1,NO,9,RURAL,N
9,GOVT,M,SC,123109,LABOUR,NO,65,5,YES,6,RURAL,Y
14,GOVT,M,GEN,62413,ACCOUNTANT,YES,74,1,NO,3,RURAL,Y
17,PVT,F,GEN,143925,ACCOUNTANT,NO,88,2,YES,9,URBAN,N
11,GOVT,M,GEN,148016,LABOUR,NO,63,3,YES,3,RURAL,Y
16,PVT,F,GEN,254380,ACCOUNTANT,YES,79,4,NO,10,URBAN,N
18,GOVT,F,SC,105232,LABOUR,NO,58,1,YES,5,RURAL,Y
17,PVT,F,GEN,109124,ACCOUNTANT,YES,89,2,NO,8,URBAN,N
11,PVT,M,GEN,300000,ACCOUNTANT,NO,67,1,NO,10,RURAL,N
17,PVT,F,GEN,300000,BUSINESS,NO,86,2,NO,9,RURAL,N
17,GOVT,F,GEN,128048,ACCOUNTANT,YES,67,1,YES,11,URBAN,N
12,GOVT,M,GEN,113230,FARMER,NO,66,2,YES,5,RURAL,Y
16,GOVT,F,GEN,198793,LABOUR,NO,63,2,NO,10,RURAL,Y
17,PVT,F,GEN,243050,BUSINESS,YES,89,1,NO,8,URBAN,N
15,PVT,M,GEN,158341,BUSINESS,NO,61,1,YES,11,RURAL,Y
18,PVT,F,GEN,300000,FARMER,NO,68,2,YES,10,RURAL,N
14,GOVT,M,SC,120323,FARMER,NO,60,2,NO,4,RURAL,Y
16,GOVT,M,OBC,113077,TEACHER,NO,58,4,YES,10,RURAL,Y
18,GOVT,M,OBC,140902,OTHERS,NO,64,1,NO,10,URBAN,N
17,GOVT,F,SC,224639,BUSINESS,NO,85,1,YES,10,URBAN,N
17,PVT,F,GEN,149294,TEACHER,NO,85,1,NO,10,URBAN,Y
12,GOVT,M,OBC,113501,LABOUR,NO,55,4,YES,4,RURAL,Y
14,GOVT,F,OBC,78905,OTHERS,NO,55,3,YES,4,RURAL,Y
9,GOVT,M,GEN,124479,LABOUR,NO,60,4,NO,8,URBAN,Y
12,GOVT,M,SC,77790,LABOUR,NO,56,5,YES,4,RURAL,Y
14,GOVT,M,SC,112444,LABOUR,NO,55,4,YES,4,RURAL,Y
17,GOVT,F,ST,100750,ACCOUNTANT,NO,87,2,YES,10,RURAL,Y
12,GOVT,M,GEN,120016,OTHERS,NO,65,2,YES,10,RURAL,Y
12,GOVT,M,GEN,91039,LABOUR,YES,76,5,NO,3,URBAN,Y
13,GOVT,M,ST,79063,FARMER,NO,70,4,YES,5,RURAL,Y
17,GOVT,F,GEN,126570,OTHERS,NO,89,1,NO,12,RURAL,N
18,PVT,M,GEN,140641,ACCOUNTANT,NO,89,2,NO,9,URBAN,N
18,GOVT,M,SC,116740,TEACHER,NO,67,1,YES,4,RURAL,N
18,PVT,F,GEN,243596,BUSINESS,YES,84,2,NO,9,URBAN,N
15,GOVT,M,OBC,127387,OTHERS,NO,74,3,YES,3,RURAL,N
10,GOVT,F,SC,74528,LABOUR,NO,63,5,YES,3,URBAN,N
9,PVT,M,ST,123374,OTHERS,NO,72,4,YES,3,URBAN,Y
18,GOVT,F,GEN,206273,TEACHER,NO,86,4,YES,8,RURAL,Y
18,PVT,F,GEN,237979,LABOUR,NO,89,2,NO,9,URBAN,Y
10,GOVT,M,SC,71284,LABOUR,NO,62,4,YES,3,RURAL,Y
12,GOVT,M,ST,98230,TEACHER,YES,76,5,YES,3,RURAL,Y
16,PVT,F,GEN,145485,FARMER,YES,83,2,NO,8,URBAN,N
11,GOVT,F,ST,70329,LABOUR,NO,67,5,NO,3,RURAL,Y
16,GOVT,M,GEN,77729,FARMER,NO,76,2,NO,9,URBAN,N
11,GOVT,M,SC,86109,LABOUR,NO,55,5,YES,3,RURAL,Y
13,GOVT,M,SC,59000,LABOUR,NO,55,5,YES,4,RURAL,Y
9,GOVT,M,ST,59000,LABOUR,NO,58,4,YES,4,URBAN,Y
15,GOVT,M,SC,90329,LABOUR,NO,59,3,YES,5,RURAL,Y
12,GOVT,M,OBC,59000,TEACHER,NO,63,3,YES,3,URBAN,Y
14,GOVT,M,ST,86922,LABOUR,YES,67,5,NO,3,URBAN,Y
18,GOVT,F,SC,97203,LABOUR,NO,64,5,YES,3,URBAN,N
17,PVT,F,GEN,300000,TEACHER,NO,63,1,YES,10,RURAL,N
16,PVT,F,GEN,191253,OTHERS,NO,84,1,NO,9,URBAN,N
16,PVT,F,GEN,300000,ACCOUNTANT,NO,89,1,NO,10,URBAN,N
12,GOVT,M,OBC,59000,LABOUR,NO,57,4,YES,3,RURAL,Y
18,GOVT,M,OBC,215621,ACCOUNTANT,NO,89,1,NO,10,RURAL,N
17,PVT,M,GEN,187220,ACCOUNTANT,NO,81,1,NO,8,URBAN,N
14,GOVT,M,SC,59000,LABOUR,YES,66,4,YES,3,URBAN,Y
14,GOVT,M,SC,99302,LABOUR,NO,55,5,YES,4,RURAL,Y
17,GOVT,M,OBC,110126,FARMER,NO,55,1,YES,5,RURAL,Y
15,PVT,F,GEN,135649,FARMER,YES,88,4,NO,8,URBAN,N
18,GOVT,M,GEN,153523,BUSINESS,NO,83,2,NO,11,RURAL,N
17,GOVT,F,GEN,156923,FARMER,YES,89,2,NO,8,URBAN,N
14,GOVT,M,OBC,141132,LABOUR,NO,76,2,NO,9,RURAL,Y
16,GOVT,F,GEN,300000,TEACHER,YES,86,1,NO,9,URBAN,N
18,PVT,F,GEN,300000,ACCOUNTANT,NO,89,1,NO,9,URBAN,N
16,PVT,F,SC,294537,OTHERS,NO,80,1,NO,11,URBAN,N
17,GOVT,F,GEN,226373,TEACHER,NO,55,2,NO,3,URBAN,Y
14,GOVT,M,OBC,114251,LABOUR,NO,63,4,YES,3,RURAL,Y
18,PVT,M,GEN,59000,TEACHER,NO,89,1,NO,7,URBAN,N
12,GOVT,M,OBC,155476,LABOUR,NO,63,3,YES,5,RURAL,Y
11,GOVT,M,GEN,59000,LABOUR,YES,55,4,NO,3,URBAN,Y
15,GOVT,M,GEN,114787,LABOUR,NO,78,3,YES,3,RURAL,Y
18,GOVT,F,GEN,130877,LABOUR,NO,83,1,NO,12,RURAL,Y
17,GOVT,M,OBC,88406,LABOUR,NO,65,1,NO,11,RURAL,N
12,GOVT,M,OBC,85149,LABOUR,NO,61,4,YES,3,RURAL,Y
18,PVT,F,GEN,300000,ACCOUNTANT,NO,86,2,NO,9,RURAL,N
17,PVT,F,GEN,300000,BUSINESS,NO,89,2,NO,8,URBAN,N
14,GOVT,M,SC,95962,LABOUR,NO,61,2,YES,4,RURAL,Y
12,GOVT,M,ST,59000,LABOUR,YES,55,5,YES,3,RURAL,Y
16,PVT,F,OBC,242773,OTHERS,NO,77,1,NO,8,RURAL,N
18,PVT,F,GEN,239786,BUSINESS,YES,85,1,NO,9,URBAN,N
14,GOVT,M,SC,59000,LABOUR,YES,55,5,YES,3,RURAL,Y
12,GOVT,M,OBC,113459,OTHERS,NO,65,1,YES,4,RURAL,N
18,PVT,F,OBC,160143,TEACHER,NO,89,1,NO,11,URBAN,N
10,PVT,F,GEN,246817,ACCOUNTANT,YES,88,1,NO,10,URBAN,N
18,PVT,F,GEN,300000,OTHERS,YES,89,1,NO,10,RURAL,N
11,GOVT,M,SC,99582,TEACHER,NO,58,4,YES,4,RURAL,Y
14,GOVT,M,OBC,111610,TEACHER,YES,64,4,NO,3,RURAL,Y
17,GOVT,M,GEN,240294,FARMER,NO,83,1,NO,10,RURAL,N
17,GOVT,M,GEN,92915,LABOUR,NO,61,4,YES,4,RURAL,Y
10,GOVT,M,GEN,121608,LABOUR,NO,76,3,YES,5,RURAL,Y
14,GOVT,M,OBC,96738,LABOUR,NO,64,2,YES,4,RURAL,Y
18,PVT,F,GEN,253635,BUSINESS,NO,89,2,NO,11,RURAL,N
13,GOVT,M,SC,59000,LABOUR,YES,61,5,YES,3,RURAL,Y
16,PVT,F,GEN,153170,FARMER,NO,85,2,NO,10,RURAL,N
17,PVT,F,GEN,294922,BUSINESS,YES,86,2,NO,9,URBAN,N
18,GOVT,F,SC,94570,TEACHER,NO,62,3,YES,5,URBAN,N
18,PVT,F,GEN,300000,OTHERS,NO,89,1,NO,9,URBAN,N
15,GOVT,M,OBC,130442,LABOUR,NO,64,2,YES,11,RURAL,N
12,GOVT,M,OBC,85912,LABOUR,NO,61,1,NO,3,RURAL,Y
18,PVT,F,ST,102565,ACCOUNTANT,NO,89,1,NO,11,URBAN,N
14,GOVT,M,OBC,112621,FARMER,NO,57,5,YES,4,RURAL,Y
16,PVT,F,GEN,300000,ACCOUNTANT,YES,84,2,NO,8,URBAN,N
16,GOVT,M,SC,102289,TEACHER,NO,66,3,YES,4,RURAL,Y
18,PVT,F,GEN,128070,BUSINESS,NO,89,1,YES,10,RURAL,N
12,GOVT,M,GEN,120498,LABOUR,NO,75,5,YES,5,RURAL,Y
18,GOVT,F,OBC,139299,BUSINESS,NO,83,1,NO,10,RURAL,Y
11,GOVT,M,GEN,135706,LABOUR,NO,59,3,YES,11,RURAL,Y
18,PVT,F,OBC,107587,OTHERS,NO,75,1,NO,4,RURAL,N
18,PVT,F,GEN,300000,ACCOUNTANT,NO,70,1,YES,12,RURAL,Y
14,GOVT,M,SC,118022,LABOUR,YES,60,5,YES,3,RURAL,Y
18,GOVT,F,ST,245936,OTHERS,YES,76,1,NO,10,URBAN,N
18,PVT,F,GEN,216830,LABOUR,NO,89,1,NO,10,URBAN,N
16,PVT,F,GEN,299004,TEACHER,NO,83,2,YES,9,RURAL,N
11,GOVT,M,SC,136825,LABOUR,NO,63,4,YES,4,RURAL,Y
11,GOVT,M,OBC,69725,ACCOUNTANT,NO,68,3,NO,4,RURAL,Y
17,GOVT,M,GEN,105983,OTHERS,NO,86,1,YES,12,RURAL,N
14,GOVT,M,OBC,115348,LABOUR,NO,62,2,YES,4,RURAL,Y
16,PVT,F,GEN,280112,ACCOUNTANT,NO,82,1,NO,8,URBAN,N
15,GOVT,M,GEN,120501,ACCOUNTANT,YES,89,1,YES,4,RURAL,N
18,PVT,F,GEN,300000,BUSINESS,NO,89,1,NO,10,RURAL,N
14,GOVT,M,SC,115652,LABOUR,NO,74,4,YES,4,RURAL,Y
18,GOVT,M,OBC,116734,TEACHER,NO,76,1,YES,11,RURAL,Y
11,GOVT,M,OBC,125369,OTHERS,NO,70,2,NO,5,RURAL,N
11,GOVT,M,OBC,115588,TEACHER,NO,66,4,YES,4,RURAL,Y
9,GOVT,M,SC,123437,LABOUR,NO,74,4,YES,3,RURAL,Y
12,GOVT,F,SC,84973,LABOUR,NO,60,2,YES,5,URBAN,N
17,PVT,F,GEN,129305,OTHERS,NO,86,1,NO,11,RURAL,N
18,PVT,F,GEN,300000,TEACHER,NO,84,1,NO,9,RURAL,N
18,PVT,F,OBC,300000,ACCOUNTANT,NO,88,2,NO,9,URBAN,N
17,PVT,F,GEN,300000,ACCOUNTANT,NO,65,1,NO,10,URBAN,N
17,PVT,F,GEN,123812,BUSINESS,NO,79,2,NO,10,RURAL,Y
18,GOVT,M,ST,133727,LABOUR,NO,76,4,YES,10,URBAN,Y
11,GOVT,M,SC,101990,TEACHER,NO,56,5,YES,3,RURAL,Y
15,GOVT,F,GEN,300000,TEACHER,YES,64,5,NO,10,URBAN,N
12,GOVT,M,ST,69718,LABOUR,YES,60,5,YES,3,RURAL,Y
10,GOVT,F,ST,85621,LABOUR,YES,55,3,NO,3,RURAL,Y
10,GOVT,M,SC,119073,LABOUR,NO,65,5,YES,3,RURAL,Y
17,GOVT,M,GEN,226893,ACCOUNTANT,YES,87,2,NO,9,RURAL,N
15,GOVT,M,SC,128179,LABOUR,NO,63,4,YES,4,URBAN,Y
18,PVT,F,GEN,225412,ACCOUNTANT,NO,84,2,YES,10,RURAL,Y
18,PVT,F,GEN,300000,BUSINESS,NO,79,2,NO,6,URBAN,N
14,GOVT,M,SC,59000,LABOUR,NO,55,5,YES,3,RURAL,Y
16,PVT,F,GEN,289689,OTHERS,NO,83,1,NO,10,RURAL,N
10,GOVT,M,GEN,102381,TEACHER,YES,61,2,NO,3,RURAL,Y
13,GOVT,M,OBC,77576,FARMER,NO,75,5,YES,3,RURAL,Y
13,GOVT,F,GEN,132183,LABOUR,NO,66,4,YES,3,RURAL,Y
15,GOVT,M,GEN,106822,ACCOUNTANT,NO,73,1,NO,10,RURAL,N
16,PVT,F,GEN,261287,ACCOUNTANT,NO,85,2,YES,8,URBAN,N
14,GOVT,M,ST,71452,FARMER,NO,75,4,NO,4,RURAL,Y
17,GOVT,M,GEN,138354,ACCOUNTANT,NO,72,1,NO,10,URBAN,Y
15,PVT,M,GEN,258201,ACCOUNTANT,NO,80,1,NO,11,RURAL,N
16,PVT,F,GEN,242974,ACCOUNTANT,NO,89,1,NO,12,URBAN,N
17,PVT,F,GEN,267096,ACCOUNTANT,YES,76,1,NO,9,RURAL,N
13,GOVT,M,SC,89984,TEACHER,NO,62,3,YES,3,RURAL,Y
18,PVT,F,GEN,73378,TEACHER,NO,82,2,NO,10,URBAN,Y
15,PVT,F,GEN,164223,ACCOUNTANT,NO,65,1,YES,12,RURAL,N
13,GOVT,F,SC,94825,LABOUR,NO,60,3,YES,4,URBAN,N
17,PVT,M,GEN,151343,OTHERS,NO,75,1,YES,5,RURAL,Y
16,PVT,F,GEN,173674,LABOUR,NO,77,1,NO,10,URBAN,N
18,GOVT,M,GEN,84559,ACCOUNTANT,NO,85,2,NO,10,RURAL,Y
16,GOVT,M,ST,102163,BUSINESS,NO,83,1,YES,9,RURAL,Y
10,GOVT,M,OBC,145175,TEACHER,NO,61,3,YES,5,RURAL,Y
